scalar,2,3,-1,1,-1,-0.5,-1,-1,1,1,1,-2,,,,,,,,,,,,,rand scalar,1,scalar,200,,Base Ticket Price,60,
5/19/2013,0,1,0,5,23,0.31,5,Fog-Rain,44,40,35,100,,0,3,0,-0.78 , 0.06 ,-0.10 ,-0.33 ,-3.00 , 0.65 ,-1.30 ,,-1.80 ,0.1650252107,-1.64 ," 1,673 ",,0,60," 100,380 "
5/20/2013,0,0,0,5,23,1.47,2,Fog-Rain,46,40,33,100,,0,0,0,-0.78 , 0.06 ,-1.45 , 0.79 ,-3.00 , 0.65 ,-1.30 ,,-5.02 ,0.8891933884,-4.14 ," 1,173 ",,0,60," 70,380 "
5/21/2013,0,0,0,5,23,0.46,6,Fog-Rain-Thunderstorm,50,46,42,100,,0,0,0,-0.78 , 0.06 ,-0.27 ,-0.71 ,-3.00 , 0.95 ,-1.30 ,,-5.05 ,0.2850357869,-4.77 ," 1,047 ",,0,60," 62,820 "
5/22/2013,0,0,0,5,23,0.33,8,Fog-Rain,51,46,42,100,,0,0,0,-0.78 , 0.06 ,-0.12 ,-1.46 ,-3.00 , 0.95 ,-1.30 ,,-5.65 ,0.7398741019,-4.91 ," 1,018 ",,0,60," 61,080 "
5/23/2013,0,0,0,5,23,0.11,5,Fog-Rain,55,52,48,50,,0,0,0,-0.78 , 0.06 , 0.13 ,-0.33 ,-3.00 , 1.25 , 3.38 ,, 0.72 ,0.5309411418, 1.25 ," 2,249 ",,0,60," 134,940 "
5/24/2013,0,1,0,5,23,0.35,8,Fog-Rain,51,42,32,100,,0,3,0,-0.78 , 0.06 ,-0.14 ,-1.46 ,-3.00 , 0.75 ,-1.30 ,,-2.87 ,0.4220931989,-2.45 ," 1,510 ",,0,60," 90,600 "
5/25/2013,0,1,0,5,23,1.02,0,Fog-Rain-Snow,28,26,23,100,,0,3,0,-0.78 , 0.06 ,-0.92 , 1.54 ,-3.00 ,-0.04 ,-1.30 ,,-1.45 ,0.9132947575,-0.53 ," 1,893 ",,0,60," 113,580 "
5/26/2013,0,1,0,4,31,0.55,3,Fog-Snow,24,22,21,100,,0,3,0,-0.84 ,-0.28 ,-0.38 , 0.42 ,-2.00 ,-0.24 ,-1.30 ,,-1.62 ,0.6303214121,-0.99 ," 1,802 ",,0,60," 108,120 "
5/27/2013,0,0,0,4,31,0,2,Fog,32,28,23,100,,0,0,0,-0.84 ,-0.28 , 0.26 , 0.79 ,-1.00 , 0.06 ,-1.30 ,,-2.31 ,0.3761617448,-1.93 ," 1,614 ",,0,60," 96,840 "
5/28/2013,0,0,0,4,31,0,4,0,44,37,30,100,,0,0,0,-0.84 ,-0.28 , 0.26 , 0.04 , -   , 0.50 ,-1.30 ,,-1.61 ,0.7886221518,-0.82 ," 1,836 ",,0,60," 110,160 "
5/29/2013,0,0,0,4,31,0.52,8,Fog-Rain,50,42,35,100,,0,0,0,-0.84 ,-0.28 ,-0.34 ,-1.46 ,-3.00 , 0.75 ,-1.30 ,,-6.47 ,0.1969995569,-6.27 , 746 ,,0,60," 44,760 "
5/30/2013,0,0,0,4,31,0,6,Fog,53,50,46,50,,0,0,0,-0.84 ,-0.28 , 0.26 ,-0.71 ,-1.00 , 1.15 , 3.38 ,, 1.97 ,0.5075819513, 2.48 ," 2,496 ",,0,60," 149,760 "
5/31/2013,0,1,0,4,31,0,5,Fog,62,56,50,100,,0,3,0,-0.84 ,-0.28 , 0.26 ,-0.33 ,-1.00 , 1.45 ,-1.30 ,, 0.96 ,0.8059059535, 1.77 ," 2,354 ",,0,60," 141,240 "
6/1/2013,0,1,0,4,31,0.02,6,Fog,64,60,55,80,,0,3,0,-0.84 ,-0.28 , 0.24 ,-0.71 ,-1.00 , 1.65 , 0.57 ,, 2.64 ,0.654060252, 3.29 ," 2,658 ",,0,60," 159,480 "
6/2/2013,0,1,0,4,34,0.65,6,Fog-Rain-Thunderstorm,62,55,47,80,,0,3,0,-0.84 ,-0.41 ,-0.49 ,-0.71 ,-3.00 , 1.40 , 0.57 ,,-0.47 ,0.2424421962,-0.23 ," 1,954 ",,0,60," 117,240 "
6/3/2013,0,0,0,4,34,0.03,7,Fog,48,42,33,80,,0,0,0,-0.84 ,-0.41 , 0.23 ,-1.08 ,-1.00 , 0.75 , 0.57 ,,-1.78 ,0.2176989696,-1.56 ," 1,688 ",,0,60," 101,280 "
6/4/2013,0,0,0,4,34,0.05,0,Fog,33,30,26,80,,0,0,0,-0.84 ,-0.41 , 0.20 , 1.54 ,-1.00 , 0.16 , 0.57 ,, 0.23 ,0.6582133214, 0.89 ," 2,178 ",,0,60," 130,680 "
6/5/2013,0,0,0,4,34,0,4,Fog,41,34,28,80,,0,0,0,-0.84 ,-0.41 , 0.26 , 0.04 ,-1.00 , 0.36 , 0.57 ,,-1.01 ,0.6804193191,-0.33 ," 1,933 ",,0,60," 115,980 "
6/6/2013,0,0,0,4,34,0.04,7,Fog-Rain,46,40,33,50,,0,0,0,-0.84 ,-0.41 , 0.22 ,-1.08 ,-3.00 , 0.65 , 3.38 ,,-1.08 ,0.0454971965,-1.03 ," 1,794 ",,0,60," 107,640 "
6/7/2013,0,1,0,4,34,1.72,8,Fog-Rain,42,36,30,80,,0,3,0,-0.84 ,-0.41 ,-1.74 ,-1.46 ,-3.00 , 0.46 , 0.57 ,,-3.42 ,0.8505117306,-2.57 ," 1,487 ",,0,60," 89,220 "
6/8/2013,0,1,0,4,34,0.44,6,Fog-Rain,50,44,39,80,,0,3,0,-0.84 ,-0.41 ,-0.25 ,-0.71 ,-3.00 , 0.85 , 0.57 ,,-0.78 ,0.3893707485,-0.39 ," 1,922 ",,0,60," 115,320 "
6/9/2013,0,1,0,5,27,0.16,0,Fog-Rain,42,40,37,80,,0,3,0,-0.78 ,-0.11 , 0.08 , 1.54 ,-3.00 , 0.65 , 0.57 ,, 1.95 ,0.2075044475, 2.16 ," 2,432 ",,0,60," 145,920 "
6/10/2013,0,0,0,5,27,0,7,Fog-Rain,51,45,39,80,,0,0,0,-0.78 ,-0.11 , 0.26 ,-1.08 ,-3.00 , 0.90 , 0.57 ,,-3.24 ,0.8683398792,-2.37 ," 1,526 ",,0,60," 91,560 "
6/11/2013,0,0,0,5,27,1.38,8,Fog-Rain,44,40,37,80,,0,0,0,-0.78 ,-0.11 ,-1.34 ,-1.46 ,-3.00 , 0.65 , 0.57 ,,-5.47 ,0.7975846233,-4.67 ," 1,066 ",,0,60," 63,960 "
6/12/2013,0,0,0,5,27,1.52,8,Fog-Rain,37,36,35,80,,0,0,0,-0.78 ,-0.11 ,-1.51 ,-1.46 ,-3.00 , 0.46 , 0.57 ,,-5.83 ,0.050049579,-5.78 , 844 ,,0,60," 50,640 "
6/13/2013,0,0,0,5,27,0,5,Fog,46,40,35,50,,0,0,0,-0.78 ,-0.11 , 0.26 ,-0.33 ,-1.00 , 0.65 , 3.38 ,, 2.07 ,0.1228338897, 2.20 ," 2,439 ",,0,60," 146,340 "
6/14/2013,0,1,0,5,27,0,6,Fog-Rain,46,40,35,80,,0,3,0,-0.78 ,-0.11 , 0.26 ,-0.71 ,-3.00 , 0.65 , 0.57 ,,-0.11 ,0.1608208469, 0.05 ," 2,010 ",,0,60," 120,600 "
6/15/2013,0,1,0,5,27,0,2,0,44,40,35,80,,0,3,0,-0.78 ,-0.11 , 0.26 , 0.79 , -   , 0.65 , 0.57 ,, 4.39 ,0.6526570357, 5.04 ," 3,008 ",,0,60," 180,480 "
6/16/2013,0,1,0,6,51,0.65,5,Fog-Rain,50,44,39,80,,0,3,0,-0.73 ,-1.14 ,-0.49 ,-0.33 ,-3.00 , 0.85 , 0.57 ,,-1.27 ,0.5251536281,-0.75 ," 1,851 ",,0,60," 111,060 "
6/17/2013,0,0,0,6,51,0.24,0,Fog-Rain,44,42,39,80,,0,0,0,-0.73 ,-1.14 ,-0.02 , 1.54 ,-3.00 , 0.75 , 0.57 ,,-2.02 ,0.8060824275,-1.21 ," 1,758 ",,0,60," 105,480 "
6/18/2013,0,0,0,6,51,0.05,6,Fog-Rain,42,38,33,80,,0,0,0,-0.73 ,-1.14 , 0.20 ,-0.71 ,-3.00 , 0.55 , 0.57 ,,-4.25 ,0.9661503786,-3.28 ," 1,344 ",,0,60," 80,640 "
6/19/2013,0,0,0,6,51,0,3,Fog,44,38,33,80,,0,0,0,-0.73 ,-1.14 , 0.26 , 0.42 ,-1.00 , 0.55 , 0.57 ,,-1.06 ,0.8075427429,-0.26 ," 1,949 ",,0,60," 116,940 "
6/20/2013,0,0,0,6,51,0,3,0,50,44,37,50,,0,0,0,-0.73 ,-1.14 , 0.26 , 0.42 , -   , 0.85 , 3.38 ,, 3.05 ,0.7367653036, 3.78 ," 2,757 ",,0,60," 165,420 "
6/21/2013,0,1,0,6,51,0,5,0,51,46,41,80,,0,3,0,-0.73 ,-1.14 , 0.26 ,-0.33 , -   , 0.95 , 0.57 ,, 2.58 ,0.6364839673, 3.22 ," 2,644 ",,0,60," 158,640 "
6/22/2013,0,1,0,6,51,0.48,8,Fog-Rain,53,50,46,80,,0,3,0,-0.73 ,-1.14 ,-0.30 ,-1.46 ,-3.00 , 1.15 , 0.57 ,,-1.90 ,0.656680462,-1.24 ," 1,751 ",,0,60," 105,060 "
6/23/2013,0,1,0,5,78,1.34,8,Fog-Rain-Thunderstorm,57,54,50,80,,0,3,0,-0.78 ,-2.30 ,-1.30 ,-1.46 ,-3.00 , 1.35 , 0.57 ,,-3.91 ,0.9046448614,-3.01 ," 1,398 ",,0,60," 83,880 "
6/24/2013,0,0,0,5,78,0.08,7,Fog-Rain,57,54,51,80,,0,0,0,-0.78 ,-2.30 , 0.17 ,-1.08 ,-3.00 , 1.35 , 0.57 ,,-5.07 ,0.9424479215,-4.13 ," 1,174 ",,0,60," 70,440 "
6/25/2013,0,0,0,5,78,1.74,7,Fog-Rain-Thunderstorm,59,55,51,80,,0,0,0,-0.78 ,-2.30 ,-1.76 ,-1.08 ,-3.00 , 1.40 , 0.57 ,,-6.95 ,0.8604788845,-6.09 , 781 ,,0,60," 46,860 "
6/26/2013,0,0,0,5,78,0.05,7,Fog-Rain,55,52,50,80,,0,0,0,-0.78 ,-2.30 , 0.20 ,-1.08 ,-3.00 , 1.25 , 0.57 ,,-5.14 ,0.6766262602,-4.46 ," 1,108 ",,0,60," 66,480 "
6/27/2013,0,0,0,5,78,0.02,6,Fog,60,55,50,50,,0,0,0,-0.78 ,-2.30 , 0.24 ,-0.71 ,-1.00 , 1.40 , 3.38 ,, 0.23 ,0.6363337322, 0.87 ," 2,174 ",,0,60," 130,440 "
6/28/2013,0,1,0,5,78,1.18,6,Fog-Rain,53,48,44,80,,0,3,0,-0.78 ,-2.30 ,-1.11 ,-0.71 ,-3.00 , 1.05 , 0.57 ,,-3.28 ,0.3773903649,-2.90 ," 1,420 ",,0,60," 85,200 "
6/29/2013,0,1,0,5,78,0.54,0,Fog-Rain-Thunderstorm,51,50,50,80,,0,3,0,-0.78 ,-2.30 ,-0.37 , 1.54 ,-3.00 , 1.15 , 0.57 ,,-0.18 ,0.2145641693, 0.04 ," 2,007 ",,0,60," 120,420 "
6/30/2013,0,1,0,8,93,0.02,6,Fog-Rain,57,52,48,80,,0,3,0,-0.63 ,-2.94 , 0.24 ,-0.71 ,-3.00 , 1.25 , 0.57 ,,-2.21 ,0.0253955575,-2.19 ," 1,563 ",,0,60," 93,780 "
7/1/2013,0,0,0,8,93,0.85,7,Fog-Rain,57,54,51,80,,0,0,0,-0.63 ,-2.94 ,-0.73 ,-1.08 ,-3.00 , 1.35 , 0.57 ,,-6.45 ,0.4469019321,-6.01 , 799 ,,0,60," 47,940 "
7/2/2013,0,0,0,8,93,1.68,0,Fog-Rain,57,55,53,80,,0,0,0,-0.63 ,-2.94 ,-1.69 , 1.54 ,-3.00 , 1.40 , 0.57 ,,-4.74 ,0.1908779528,-4.55 ," 1,090 ",,0,60," 65,400 "
7/3/2013,0,0,0,8,93,0.21,0,Fog-Rain-Thunderstorm,59,56,53,80,,0,0,0,-0.63 ,-2.94 , 0.02 , 1.54 ,-3.00 , 1.45 , 0.57 ,,-2.98 ,0.3832069593,-2.60 ," 1,481 ",,0,60," 88,860 "
7/4/2013,0,0,0,8,93,0.15,8,Fog-Rain,62,58,55,50,,0,0,0,-0.63 ,-2.94 , 0.09 ,-1.46 ,-3.00 , 1.55 , 3.38 ,,-3.00 ,0.6039043451,-2.40 ," 1,520 ",,0,60," 91,200 "
7/5/2013,0,1,0,8,93,0.02,0,Fog,60,56,51,80,,0,3,0,-0.63 ,-2.94 , 0.24 , 1.54 ,-1.00 , 1.45 , 0.57 ,, 2.24 ,0.9272153585, 3.17 ," 2,634 ",,0,60," 158,040 "
7/6/2013,0,1,0,8,93,0.01,7,Fog-Rain,57,54,51,80,,0,3,0,-0.63 ,-2.94 , 0.25 ,-1.08 ,-3.00 , 1.35 , 0.57 ,,-2.48 ,0.5692010655,-1.91 ," 1,619 ",,0,60," 97,140 "
7/7/2013,0,1,0,7,69,0.01,8,Fog,57,54,50,80,,0,3,0,-0.68 ,-1.91 , 0.25 ,-1.46 ,-1.00 , 1.35 , 0.57 ,, 0.13 ,0.1321654094, 0.26 ," 2,052 ",,0,60," 123,120 "
7/8/2013,0,0,0,7,69,1.55,8,Fog-Rain,55,53,51,80,,0,0,0,-0.68 ,-1.91 ,-1.54 ,-1.46 ,-3.00 , 1.30 , 0.57 ,,-6.72 ,0.7988806176,-5.92 , 816 ,,0,60," 48,960 "
7/9/2013,0,0,0,7,69,0.1,5,Fog-Rain,60,56,51,80,,0,0,0,-0.68 ,-1.91 , 0.15 ,-0.33 ,-3.00 , 1.45 , 0.57 ,,-3.75 ,0.9157040576,-2.84 ," 1,433 ",,0,60," 85,980 "
7/10/2013,0,0,0,7,69,1.19,3,Fog-Rain-Thunderstorm,55,53,51,80,,0,0,0,-0.68 ,-1.91 ,-1.12 , 0.42 ,-3.00 , 1.30 , 0.57 ,,-4.42 ,0.652789511,-3.77 ," 1,247 ",,0,60," 74,820 "
7/11/2013,0,0,0,7,69,0.89,4,Fog-Rain,57,52,46,50,,0,0,0,-0.68 ,-1.91 ,-0.77 , 0.04 ,-3.00 , 1.25 , 3.38 ,,-1.69 ,0.8505080021,-0.83 ," 1,833 ",,0,60," 109,980 "
7/12/2013,0,1,0,7,69,0,5,0,60,53,46,80,,0,3,0,-0.68 ,-1.91 , 0.26 ,-0.33 , -   , 1.30 , 0.57 ,, 2.21 ,0.4505206887, 2.66 ," 2,533 ",,0,60," 151,980 "
7/13/2013,0,1,0,7,69,0,4,Fog,62,55,48,80,,0,3,0,-0.68 ,-1.91 , 0.26 , 0.04 ,-1.00 , 1.40 , 0.57 ,, 1.69 ,0.8064940013, 2.50 ," 2,499 ",,0,60," 149,940 "
7/14/2013,0,1,0,9,100,0.05,7,Fog,60,56,51,80,,0,3,0,-0.57 ,-3.24 , 0.20 ,-1.08 ,-1.00 , 1.45 , 0.57 ,,-0.67 ,0.1156860904,-0.55 ," 1,889 ",,0,60," 113,340 "
7/15/2013,0,0,0,9,100,0,5,Fog,60,56,53,80,,0,0,0,-0.57 ,-3.24 , 0.26 ,-0.33 ,-1.00 , 1.45 , 0.57 ,,-2.86 ,0.6815208495,-2.18 ," 1,564 ",,0,60," 93,840 "
7/16/2013,0,0,0,9,100,0,4,Fog,59,56,53,80,,0,0,0,-0.57 ,-3.24 , 0.26 , 0.04 ,-1.00 , 1.45 , 0.57 ,,-2.49 ,0.3044954424,-2.18 ," 1,564 ",,0,60," 93,840 "
7/17/2013,0,0,0,9,100,1.72,4,Fog-Rain-Thunderstorm,62,58,55,80,,0,0,0,-0.57 ,-3.24 ,-1.74 , 0.04 ,-3.00 , 1.55 , 0.57 ,,-6.39 ,0.2071519196,-6.18 , 764 ,,0,60," 45,840 "
7/18/2013,0,0,0,9,100,0.68,4,Fog-Rain,60,56,53,50,,0,0,0,-0.57 ,-3.24 ,-0.53 , 0.04 ,-3.00 , 1.45 , 3.38 ,,-2.47 ,0.7344607573,-1.73 ," 1,654 ",,0,60," 99,240 "
7/19/2013,0,1,0,9,100,0.24,8,Fog-Rain,64,58,53,80,,0,3,0,-0.57 ,-3.24 ,-0.02 ,-1.46 ,-3.00 , 1.55 , 0.57 ,,-3.17 ,0.8117080301,-2.36 ," 1,529 ",,0,60," 91,740 "
7/20/2013,0,1,0,9,100,0.04,0,Fog-Rain,55,50,46,80,,0,3,0,-0.57 ,-3.24 , 0.22 , 1.54 ,-3.00 , 1.15 , 0.57 ,,-0.33 ,0.0373185892,-0.29 ," 1,942 ",,0,60," 116,520 "
7/21/2013,0,1,0,6,64,0,6,Fog,51,48,44,80,,0,3,0,-0.73 ,-1.70 , 0.26 ,-0.71 ,-1.00 , 1.05 , 0.57 ,, 0.75 ,0.246779362, 1.00 ," 2,200 ",,0,60," 132,000 "
7/22/2013,0,0,0,6,64,0,7,Fog,51,48,46,80,,0,0,0,-0.73 ,-1.70 , 0.26 ,-1.08 ,-1.00 , 1.05 , 0.57 ,,-2.62 ,0.7555353395,-1.87 ," 1,626 ",,0,60," 97,560 "
7/23/2013,0,0,0,6,64,1.1,8,Fog-Rain,55,52,50,80,,0,0,0,-0.73 ,-1.70 ,-1.02 ,-1.46 ,-3.00 , 1.25 , 0.57 ,,-6.08 ,0.2537632803,-5.83 , 835 ,,0,60," 50,100 "
7/24/2013,0,0,0,6,64,0.09,2,Fog,51,44,37,80,,0,0,0,-0.73 ,-1.70 , 0.16 , 0.79 ,-1.00 , 0.85 , 0.57 ,,-1.05 ,0.1512639343,-0.90 ," 1,820 ",,0,60," 109,200 "
7/25/2013,0,0,0,6,64,0,5,Fog,55,50,46,50,,0,0,0,-0.73 ,-1.70 , 0.26 ,-0.33 ,-1.00 , 1.15 , 3.38 ,, 1.04 ,0.5641821823, 1.60 ," 2,320 ",,0,60," 139,200 "
7/26/2013,0,1,0,6,64,0.09,8,Fog-Rain,51,50,46,80,,0,3,0,-0.73 ,-1.70 , 0.16 ,-1.46 ,-3.00 , 1.15 , 0.57 ,,-2.00 ,0.708468972,-1.30 ," 1,741 ",,0,60," 104,460 "
7/27/2013,0,1,0,6,64,0,4,Fog,59,52,46,80,,0,3,0,-0.73 ,-1.70 , 0.26 , 0.04 ,-1.00 , 1.25 , 0.57 ,, 1.70 ,0.0679444091, 1.77 ," 2,354 ",,0,60," 141,240 "
7/28/2013,0,1,0,8,62,0.19,6,Fog-Rain,59,52,46,80,,0,3,0,-0.63 ,-1.61 , 0.04 ,-0.71 ,-3.00 , 1.25 , 0.57 ,,-1.08 ,0.4734068352,-0.61 ," 1,879 ",,0,60," 112,740 "
7/29/2013,0,0,0,8,62,0.47,6,Fog-Rain-Thunderstorm,53,50,46,80,,0,0,0,-0.63 ,-1.61 ,-0.28 ,-0.71 ,-3.00 , 1.15 , 0.57 ,,-4.51 ,0.4015641981,-4.10 ," 1,179 ",,0,60," 70,740 "
7/30/2013,0,0,0,8,62,0,6,Fog-Rain,46,44,41,80,,0,0,0,-0.63 ,-1.61 , 0.26 ,-0.71 ,-3.00 , 0.85 , 0.57 ,,-4.26 ,0.26261827,-3.99 ," 1,201 ",,0,60," 72,060 "
7/31/2013,0,0,0,8,62,0,5,Fog,55,48,41,80,,0,0,0,-0.63 ,-1.61 , 0.26 ,-0.33 ,-1.00 , 1.05 , 0.57 ,,-1.68 ,0.0242767478,-1.66 ," 1,668 ",,0,60," 100,080 "
8/1/2013,0,0,0,8,62,0.59,4,Fog-Rain,50,48,46,50,,0,0,0,-0.63 ,-1.61 ,-0.42 , 0.04 ,-3.00 , 1.05 , 3.38 ,,-1.18 ,0.7351852155,-0.45 ," 1,911 ",,0,60," 114,660 "
8/2/2013,0,1,0,8,62,0.28,7,Fog-Rain,50,47,44,80,,0,3,0,-0.63 ,-1.61 ,-0.06 ,-1.08 ,-3.00 , 1.00 , 0.57 ,,-1.81 ,0.5691436997,-1.24 ," 1,752 ",,0,60," 105,120 "
8/3/2013,0,1,0,8,62,0.24,7,Fog-Rain,44,42,41,80,,0,3,0,-0.63 ,-1.61 ,-0.02 ,-1.08 ,-3.00 , 0.75 , 0.57 ,,-2.01 ,0.0981931812,-1.91 ," 1,617 ",,0,60," 97,020 "
8/4/2013,0,1,0,11,60,0.7,0,Fog-Rain,42,40,37,80,,0,3,0,-0.47 ,-1.53 ,-0.55 , 1.54 ,-3.00 , 0.65 , 0.57 ,, 0.23 ,0.9042000456, 1.13 ," 2,226 ",,0,60," 133,560 "
8/5/2013,0,0,0,11,60,0.15,2,Fog-Rain,41,36,32,80,,0,0,0,-0.47 ,-1.53 , 0.09 , 0.79 ,-3.00 , 0.46 , 0.57 ,,-3.08 ,0.3612942586,-2.72 ," 1,455 ",,0,60," 87,300 "
8/6/2013,0,0,0,11,60,0,4,Fog,50,44,37,80,,0,0,0,-0.47 ,-1.53 , 0.26 , 0.04 ,-1.00 , 0.85 , 0.57 ,,-1.26 ,0.8353245766,-0.43 ," 1,915 ",,0,60," 114,900 "
8/7/2013,0,0,0,11,60,0,3,Fog,50,46,42,80,,0,0,0,-0.47 ,-1.53 , 0.26 , 0.42 ,-1.00 , 0.95 , 0.57 ,,-0.79 ,0.6964603097,-0.09 ," 1,982 ",,0,60," 118,920 "
8/8/2013,0,0,0,11,60,0.03,0,Fog-Rain,55,50,46,50,,0,0,0,-0.47 ,-1.53 , 0.23 , 1.54 ,-3.00 , 1.15 , 3.38 ,, 1.31 ,0.4803797039, 1.80 ," 2,359 ",,0,60," 141,540 "
8/9/2013,0,1,0,11,60,4.15,6,Fog-Rain-Thunderstorm,55,52,50,80,,0,3,0,-0.47 ,-1.53 ,-4.57 ,-0.71 ,-3.00 , 1.25 , 0.57 ,,-5.45 ,0.3161164476,-5.13 , 974 ,,0,60," 58,440 "
8/10/2013,0,1,0,11,60,0.16,3,Fog,51,44,37,80,,0,3,0,-0.47 ,-1.53 , 0.08 , 0.42 ,-1.00 , 0.85 , 0.57 ,, 1.93 ,0.476402625, 2.40 ," 2,481 ",,0,60," 148,860 "
8/11/2013,0,1,0,6,31,0,6,Fog,46,42,37,80,,0,3,0,-0.73 ,-0.28 , 0.26 ,-0.71 ,-1.00 , 0.75 , 0.57 ,, 1.87 ,0.5081961905, 2.38 ," 2,475 ",,0,60," 148,500 "
8/12/2013,0,0,0,6,31,0,6,Fog,50,46,41,80,,0,0,0,-0.73 ,-0.28 , 0.26 ,-0.71 ,-1.00 , 0.95 , 0.57 ,,-0.93 ,0.3332232155,-0.60 ," 1,880 ",,0,60," 112,800 "
8/13/2013,0,0,0,6,31,0.4,6,Fog-Rain,48,46,44,80,,0,0,0,-0.73 ,-0.28 ,-0.20 ,-0.71 ,-3.00 , 0.95 , 0.57 ,,-3.40 ,0.8861309243,-2.51 ," 1,498 ",,0,60," 89,880 "
8/14/2013,0,0,0,6,31,0.05,0,Fog-Rain,46,40,35,80,,0,0,0,-0.73 ,-0.28 , 0.20 , 1.54 ,-3.00 , 0.65 , 0.57 ,,-1.04 ,0.4606100437,-0.58 ," 1,885 ",,0,60," 113,100 "
